"	datetime	price",,,,
"175	2021-09-26T08:00:00.000Z	39.0",,,,
"176	2021-09-26T16:00:00.000Z	39.0",,,,
"177	2021-09-27T00:00:00.000Z	38.9625",,,,
"178	2021-09-27T08:00:00.000Z	38.8014",,,,
"179	2021-09-27T16:00:00.000Z	38.46",,,,
"180	2021-09-28T00:00:00.000Z	37.8338",,,,
"181	2021-09-28T08:00:00.000Z	37.9722",,,,
"182	2021-09-28T16:00:00.000Z	38.7",,,,
"183	2021-09-29T00:00:00.000Z	39.0",,,,
"184	2021-09-29T08:00:00.000Z	39.0",,,,
"185	2021-09-29T16:00:00.000Z	38.9945",,,,
"186	2021-09-30T00:00:00.000Z	38.9838",,,,
"187	2021-09-30T08:00:00.000Z	38.99",,,,
"188	2021-09-30T16:00:00.000Z	38.9913",,,,
"189	2021-10-01T00:00:00.000Z	38.74",,,,
"190	2021-10-01T08:00:00.000Z	39.2737",,,,
"191	2021-10-01T16:00:00.000Z	40.0",,,,
"192	2021-10-02T00:00:00.000Z	40.0",,,,
"193	2021-10-02T08:00:00.000Z	39.9904",,,,
"194	2021-10-02T16:00:00.000Z	40.1001",,,,
"195	2021-10-03T00:00:00.000Z	41.4363",,,,
"196	2021-10-03T08:00:00.000Z	41.738",,,,
"197	2021-10-03T16:00:00.000Z	41.7688",,,,
"198	2021-10-04T00:00:00.000Z	41.7225",,,,
"199	2021-10-04T08:00:00.000Z	41.06",,,,
"200	2021-10-04T16:00:00.000Z	40.9",,,,
"201	2021-10-05T00:00:00.000Z	41.5556",,,,
"202	2021-10-05T08:00:00.000Z	40.5956",,,,
"203	2021-10-05T16:00:00.000Z	40.102",,,,
"204	2021-10-06T00:00:00.000Z	39.25",,,,
"205	2021-10-06T08:00:00.000Z	39.19",,,,
"206	2021-10-06T16:00:00.000Z	39.7375",,,,
"207	2021-10-07T00:00:00.000Z	39.6388",,,,
"208	2021-10-07T08:00:00.000Z	39.87",,,,
"209	2021-10-07T16:00:00.000Z	38.2789",,,,
"210	2021-10-08T00:00:00.000Z	37.1261",,,,
"211	2021-10-08T08:00:00.000Z	36.225",,,,
"212	2021-10-08T16:00:00.000Z	35.7824",,,,
"213	2021-10-09T00:00:00.000Z	37.61",,,,
"214	2021-10-09T08:00:00.000Z	39.48",,,,
"215	2021-10-09T16:00:00.000Z	39.48",,,,
"216	2021-10-10T00:00:00.000Z	39.3655",,,,
"217	2021-10-10T08:00:00.000Z	38.728",,,,
"218	2021-10-10T16:00:00.000Z	38.456",,,,
"219	2021-10-11T00:00:00.000Z	38.4687",,,,
"220	2021-10-11T08:00:00.000Z	37.9944",,,,
"221	2021-10-11T16:00:00.000Z	37.95",,,,
"222	2021-10-12T00:00:00.000Z	36.7882",,,,
"223	2021-10-12T08:00:00.000Z	36.8",,,,
"224	2021-10-12T16:00:00.000Z	36.9271",,,,
"225	2021-10-13T00:00:00.000Z	37.0741",,,,
"226	2021-10-13T08:00:00.000Z	37.0673",,,,
"227	2021-10-13T16:00:00.000Z	36.99",,,,
"228	2021-10-14T00:00:00.000Z	37.092",,,,
"229	2021-10-14T08:00:00.000Z	37.199",,,,
"230	2021-10-14T16:00:00.000Z	37.7737",,,,
"231	2021-10-15T00:00:00.000Z	36.0",,,,
"232	2021-10-15T08:00:00.000Z	36.5",,,,
"233	2021-10-15T16:00:00.000Z	36.5",,,,
"234	2021-10-16T00:00:00.000Z	36.0238",,,,
